ADM2_NAME,Month,Year,EVI_mean,LAI_mean,FPAR_mean,LST_Kelvin_mean,Soil_Moisture_mm_mean
Barisal,1,2022,-289.44856442562724,-1697.0802422353547,-1753.0097648464236,295.2514497391497,7.976049257482495
Bhola,1,2022,-1333.9237105352752,-3376.985566766126,-3395.8928258402816,150.89414444620405,4.584525318914152
Jhalokati,1,2022,0.29761908862630626,-261.5023283156587,-283.63213186355085,295.9887382062581,6.167500989684569
Patuakhali,1,2022,-129.05705108576294,-1015.3776897723817,-1017.5035866069189,254.721162879693,12.443186835161654
Pirojpur,1,2022,-1.9000098135846422,-607.7585652816297,-673.067972659416,295.60522789563277,6.32199000968487
Bandarban,1,2022,0.423979357654535,3.5893101301015227,0.7966599038609931,296.141139285462,3.961904551623006
Brahamanbaria,1,2022,0.24650904258293543,-1403.025927430065,-1414.049706355755,296.21555850066665,6.990930940515566
Chandpur,1,2022,-329.52137511041906,-1766.082848955086,-1873.2102780332964,295.3415049600582,5.827155380063496
Chittagong,1,2022,-41.37493613856598,-511.64534703836995,-518.9350835972243,263.2567309039326,-19.010968683860774
Comilla,1,2022,0.29214625900324254,-131.43478535250114,-139.4035446928537,295.99527123903687,8.423208115121199
Cox's Bazar,1,2022,-1141.5279825875832,-1765.0542429941247,-1771.4931117923747,-951.8725582880007,-7.017220110069156
Feni,1,2022,-7.626200292955802,-96.77976229240484,-102.54530712637902,288.3056844039336,10.067939072509883
Khagrachhari,1,2022,0.4261628127961914,-13.015075343599895,-15.244498560942015,295.37682447267497,8.294509749506187
Lakshmipur,1,2022,-629.8624489463396,-1740.7752013983913,-1883.8421612190589,251.00237339091768,7.651302110734616
Noakhali,1,2022,-312.1101226438656,-579.0247762058284,-797.4232122959186,141.301660245239,-240.66221206168663
Rangamati,1,2022,-51.84982713998589,-619.6079138198119,-636.8390421191895,294.7976941932191,4.314729232640792
Dhaka,1,2022,-15.250555816580082,-1393.3559746907322,-1398.409370452406,296.1643807562892,8.219125736463324
Faridpur,1,2022,-18.262248774127567,-1211.0903516520973,-1211.4658093570542,295.83528265211436,9.593797332650903
Gazipur,1,2022,0.2722267945388868,-178.99797465204895,-207.48436324610347,295.0748909276151,9.758772291896374
Gopalganj,1,2022,0.27358428671227636,-55.49036969508997,-151.437396464943,295.7379105055407,8.100658362010325
Jamalpur,1,2022,0.2800488833449251,-547.6232212910066,-547.99519190244,295.1669374706264,3.922920713981382
Kishoreganj,1,2022,0.24403485598498081,-3507.7807837163477,-3512.408544356025,295.32115252032503,6.0411673631446785
Madaripur,1,2022,-188.51310556363177,-938.7533812687603,-955.0838428796029,291.6017655856431,6.394062730258612
Manikganj,1,2022,-112.44554868358871,-1458.6401189719634,-1459.267866260069,295.03439784938695,8.795593775658691
Munshiganj,1,2022,-140.4615774106785,-1551.3095828001133,-1602.4983014913266,296.2218264064058,6.518990380379987
Mymensingh,1,2022,0.2228442508549417,-44.45683384639071,-45.20862960693828,295.3158970799132,5.427778150836621
Narayanganj,1,2022,0.2503313230000656,-1076.2394944710536,-1076.5328716471388,296.27490317715495,6.761689763536516
Narsingdi,1,2022,0.27972165206618316,-955.977804031356,-985.7791170916003,295.6029899247983,7.375811868144613
Netrakona,1,2022,0.20800955478818617,-937.775003816216,-943.5672298951364,296.1549816270954,5.269148149293651
